fullName,nickname,hogwartsHouse,interpretedBy,children,image,birthdate,index,knownSpells
"Harry James Potter",Harry,Gryffindor,"Daniel Radcliffe","James Sirius Potter;Albus Severus Potter;Lily Luna Potter",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/harry_potter.png,Jul 31, 1980,0,"Expelliarmus;Expecto Patronum;Lumos;Accio"
"Hermione Jean Granger",Hermione,Gryffindor,"Emma Watson","Rose Granger-Weasley;Hugo Granger-Weasley",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/hermione_granger.png,Sep 19, 1979,1,"Alohomora;Reparo;Protego"
"Ron Weasley",Ron,Gryffindor,"Rupert Grint","Rose Granger-Weasley;Hugo Granger-Weasley",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/ron_weasley.png,Mar 1, 1980,2,"Wingardium Leviosa/Locomotor;Lumos;Expelliarmus"
"Fred Weasley",Fred,Gryffindor,"James Phelps","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/fred_weasley.png,Apr 1, 1978,3,"Rictusempra;Expulso;Confringo"
"George Weasley",George,Gryffindor,"Oliver Phelps","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/george_weasley.png,Apr 1, 1978,4,"Rictusempra;Pack;Confringo"
"Bill Weasley",Bill,Gryffindor,"Domhnall Gleeson","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/bill_weasley.png,Nov 29, 1970,5,"Diffindo;Reparo;Protego"
"Percy Weasley",Percy,Gryffindor,"Chris Rankin","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/percy_weasley.png,Aug 22, 1976,6,"Silencio/Langlock;Levicorpus;Quietus"
"Charlie Weasley",Charlie,Gryffindor,,"",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/charlie_weasley.png,Dec 12, 1972,7,"Incendio;Reducio;Aguamenti"
"Ginny Weasley",Ginny,Gryffindor,"Bonnie Right","James Sirius Potter;Albus Severus Potter;Lily Luna Potter",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/ginny_weasley.png,Aug 11, 1981,8,"Piertotum Locomotor;Stupefy;Expelliarmus"
"Molly Weasley",Molly,Gryffindor,"Julie Walters","Ron Weasley;Fred Weasley;George Weasley;Bill Weasley;Percy Weasley;Charlie Weasley;Ginny Weasley",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/molly_weasley.png,Oct 30, 1949,9,"Muffliato;Scourgify;Protego"
"Arthur Weasley",Arthur,Gryffindor,"Mark Williams","Ron Weasley;Fred Weasley;George Weasley;Bill Weasley;Percy Weasley;Charlie Weasley;Ginny Weasley",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/arthur_weasley.png,Feb 6, 1950,10,"Piertotum Locomotor;Aparecium;Reparo"
"Neville Longbottom",Neville,Gryffindor,"Matthew Lewis","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/neville_longbottom.png,Jul 30, 1980,11,"Diffindo;Expecto Patronum;Herbology"
"Luna Lovegood",Luna,Ravenclaw,"Evanna Lynch","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/luna_lovegood.png,Feb 13, 1981,12,"Riddikulus;Lumos;Muffliato"
"Draco Malfoy",Draco,Slytherin,"Tom Felton","Scorpius Malfoy",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/draco_malfoy.png,Jun 5, 1980,13,"Sectumsempra;Expelliarmus;Imperio"
"Albus Percival Wulfric Brian Dumbledore","Dumbledore",Gryffindor,"Richard Harris","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/albus_dumbledore.png,Aug 29, 1881,14,"Fidelius Charm;Protego;Prior Incantato"
